id,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,state
7314943724,maine,27000,2014.0,ram,2500 slt crew cab,,8 cylinders,gas,110000.0,clean,automatic,,4wd,,,,me
7316566021,san diego,9950,2016.0,dodge,journey,like new,6 cylinders,gas,78000.0,salvage,automatic,,,,SUV,red,ca
7312212560,show low,550,1987.0,ford,f150,fair,8 cylinders,gas,765432.0,clean,automatic,,rwd,full-size,pickup,white,az
7313794933,bend,25992,2021.0,hyundai,kona,,,gas,1100.0,clean,automatic,KM8K2CAA8MU683121,,,,silver,or
7314288610,asheville,8480,2010.0,honda,insight hybrid ex,excellent,4 cylinders,hybrid,105401.0,clean,automatic,,fwd,compact,hatchback,black,nc
7316855411,salem,0,2019.0,ford,f 250,excellent,,diesel,16340.0,clean,automatic,1FT7W2BT4KEE93803,4wd,,truck,white,or
7303823705,akron / canton,13988,2018.0,nissan,sentra,,,gas,38000.0,clean,automatic,3N1AB7AP2JY205610,fwd,,sedan,black,oh
7309285383,springfield,59988,2020.0,ram,2500 power wagon,good,,other,14096.0,clean,automatic,3C6TR5EJ8LG267105,4wd,,wagon,black,mo
7315388941,austin,4200,2008.0,volkswagen,rabbit hatchback,excellent,4 cylinders,gas,168520.0,clean,automatic,,,,,,tx
7314260534,"washington, DC",4200,2009.0,ford,focus,,4 cylinders,gas,161216.0,clean,automatic,1FAHP35N89W158087,fwd,,sedan,blue,dc
7313296650,tampa bay area,49998,2013.0,ford,f-350,,,other,122615.0,clean,automatic,1FT8W3DT7DEB85843,4wd,,pickup,,fl
7303746995,dayton / springfield,21590,2015.0,,Scion FR-S Coupe 2D,good,,gas,24056.0,clean,other,JF1ZNAA19F9711910,rwd,,coupe,orange,oh
7308496355,jackson,4500,2010.0,mercury,mariner,,,gas,155000.0,clean,automatic,,,,,,ms
7311356635,albuquerque,34999,1989.0,volkswagen,bus/vanagon gl camper,,4 cylinders,gas,141525.0,clean,manual,WV2ZB0258KH060320,rwd,,van,white,nm
7304111795,muskegon,30990,2017.0,jeep,wrangler unlimited sport,good,6 cylinders,gas,43039.0,clean,other,1C4BJWDG6HL650381,4wd,,SUV,silver,mi
7314850849,bend,536,2014.0,toyota,tundra,,8 cylinders,gas,100153.0,clean,automatic,5TFDY5F10EX358625,4wd,,truck,,or
